end_date,reading
2012-01-31,1.6397583333333334
2012-02-29,0.622178284810612
2012-03-31,0.1374202922959145
2012-04-30,0.13590625814606794
2012-05-31,0.1317497174127145
2012-06-30,0.1286934468292971
2012-07-31,0.1301850912893553
2012-08-31,0.1263006335791778
2012-09-30,0.12247170238487273
2012-10-31,0.12012443208781134
2012-11-30,0.1154912959986316
2012-12-31,0.11116829667679816
2013-01-31,0.098455013152497
2013-02-28,0.099945683484603
2013-03-31,0.10553143548790066
2013-04-30,0.1048782233802947
2013-05-31,0.10296933810498238
2013-06-30,0.10393180943408517
2013-07-31,0.09884672383641832
2013-08-31,0.09975821269851394
2013-09-30,0.09709491102583007
2013-10-31,0.09343830272642902
2013-11-30,0.09286567361609302
2013-12-31,0.08605731073053217
2014-01-31,0.08222210251614223
2014-02-28,0.07028200669968201
2014-03-31,0.07774832293600258
2014-04-30,0.08316701863522694
2014-05-31,0.08293340612629889
2014-06-30,0.08153452792623224
2014-07-31,0.08046048518169867
2014-08-31,0.07975062354528577
2014-09-30,0.07864589270572385
2014-10-31,0.07739697847463392
2014-11-30,0.07679523962386882
2014-12-31,0.07367245454501205
2015-01-31,0.06960574469653502
2015-02-28,0.06783056501950656
2015-03-31,0.07235040305584285
2015-04-30,0.0737740246067141
2015-05-31,0.07345994928132618
2015-06-30,0.07245269172653371
2015-07-31,0.07147578289751304
2015-08-31,0.07159032722133087
2015-09-30,0.06968340196678774
2015-10-31,0.07032115409935155
2015-11-30,0.06901514175027244
2015-12-31,0.06836734035911272
2016-01-31,0.06457248817018212
2016-02-29,0.06342175295192891
2016-03-31,0.06656275947477322
2016-04-30,0.06703557896570758
2016-05-31,0.06675968280340354
2016-06-30,0.06673879850536339
2016-07-31,0.06600283217908524
2016-08-31,0.06608665824957045
2016-09-30,0.06463952369563512
2016-10-31,0.06454677302989452
2016-11-30,0.06419485810699163
2016-12-31,0.06356979827983562
2017-01-31,0.05985177156423804
2017-02-28,0.059029425798266595
2017-03-31,0.06057589936525695
2017-04-30,0.06195214787130309
2017-05-31,0.0625139872627891
2017-06-30,0.06244103825405945
2017-07-31,0.06229739563170679
2017-08-31,0.06146900787921788
2017-09-30,0.06151691010731864
2017-10-31,0.06127518910381575
2017-11-30,0.06098848293865764
2017-12-31,0.05979328307822288
2018-01-31,0.056653432180053614
2018-02-28,0.05432438091640337
2018-03-31,0.057965586742656526
2018-04-30,0.05962506859279952
2018-05-31,0.0597994756285738
2018-06-30,0.05966647724941108
2018-07-31,0.060193818890944134
2018-08-31,0.0602189180673277
2018-09-30,0.05944022702837696
2018-10-31,0.05932047959807359
2018-11-30,0.05924780854001904
2018-12-31,0.05855438695923834
2019-01-31,0.056779061444545816
2019-02-28,0.05625429683634613
2019-03-31,0.057378396714704065
2019-04-30,0.057486452650488296
2019-05-31,0.0576535671206332
2019-06-30,0.05781654171329669
2019-07-31,0.05688805402077122
2019-08-31,0.058000959288205374
2019-09-30,0.05707712998781909
2019-10-31,0.05700047204820249
2019-11-30,0.05719332783165142
2019-12-31,0.05710266652773079
2020-01-31,0.055778407382738454
2020-02-29,0.055407070621896974
2020-03-31,0.05532478706659939
2020-04-30,0.05518956970050084
2020-05-31,0.05559935847767452
2020-06-30,0.05627771785993798
2020-07-31,0.055425945540535905
2020-08-31,0.05586292796216269
2020-09-30,0.0553784459686757
2020-10-31,0.05527513099990171
2020-11-30,0.055254692679484234
2020-12-31,0.054424740122564194
2021-01-31,0.05116395643069203
2021-02-28,0.0516399572634632
2021-03-31,0.052831045744853485
2021-04-30,0.053315847441303674
2021-05-31,0.05376178479712402
2021-06-30,0.0535977046491754
